Date,,OPEN,HIGH,LOW,PREV. CLOSE,,close
26-Sep-2019,,239.2,240.45,236.55,238.8,,237.1
25-Sep-2019,,240.5,241.35,238,240.7,,238.8
24-Sep-2019,,240.9,242.95,239.5,239.35,,240.7
23-Sep-2019,,247.7,248,236.5,245.95,,239.35
20-Sep-2019,,241.9,248.7,240.5,241.5,,245.95
19-Sep-2019,,245.25,245.85,240.25,244.3,,241.5
18-Sep-2019,,245.4,245.95,243.3,244.15,,244.3
17-Sep-2019,,246.95,247.4,243.7,247.1,,244.15
16-Sep-2019,,245.1,247.85,244.1,245.35,,247.1
13-Sep-2019,,245,247.4,243.2,244.55,,245.35
12-Sep-2019,,245.7,248.5,244,248.15,,244.55
11-Sep-2019,,254,255,247.35,255.6,,248.15
09-Sep-2019,,251.4,256.1,250.35,252,,255.6
06-Sep-2019,,255.35,257.3,248.8,255.6,,252
05-Sep-2019,,258.9,258.9,254.5,256.05,,255.6
04-Sep-2019,,251.5,256.85,251.3,253.65,,256.05
03-Sep-2019,,254.1,255.35,252.55,254.4,,253.65
30-Aug-2019,,250.1,255.25,249.15,248.8,,254.4
29-Aug-2019,,247.05,250.25,247.05,249.25,,248.8
28-Aug-2019,,250.1,253.2,248.1,250.1,,249.25
27-Aug-2019,,248.7,251.65,247.1,249.1,,250.1
26-Aug-2019,,252.4,252.95,247.85,251.4,,249.1
23-Aug-2019,,252.95,257.1,249.55,252.05,,251.4
22-Aug-2019,,252,253.5,248.5,252.4,,252.05
21-Aug-2019,,253.5,254.9,251.1,253.3,,252.4
20-Aug-2019,,253.3,259.1,252.2,252.1,,253.3
19-Aug-2019,,250.3,253.2,250,249.2,,252.1
16-Aug-2019,,250,251,245.05,251.05,,249.2
14-Aug-2019,,259.8,260.1,250.25,258.5,,251.05
13-Aug-2019,,264.9,264.9,258,263.5,,258.5
09-Aug-2019,,266,268.7,262.85,265.75,,263.5
08-Aug-2019,,263,267,261.35,262.55,,265.75
07-Aug-2019,,259,264.25,259,258.9,,262.55
06-Aug-2019,,262,262.7,257.8,262,,258.9
05-Aug-2019,,261.15,265.4,260.3,263.65,,262
02-Aug-2019,,269.9,270.9,261.7,270.4,,263.65
01-Aug-2019,,271.5,276.15,268.55,265.3,,270.4
31-Jul-2019,,262.5,266.3,260.55,262.3,,265.3
30-Jul-2019,,262.9,264.8,261,262.4,,262.3
29-Jul-2019,,263,267.15,260.25,263.6,,262.4
26-Jul-2019,,262.2,264.75,260.8,262.25,,263.6
25-Jul-2019,,265.45,265.45,261.5,264.2,,262.25
24-Jul-2019,,264.5,265.85,262,264.5,,264.2
23-Jul-2019,,264.9,270,263.8,264.8,,264.5
22-Jul-2019,,265.6,266.3,262.4,264.7,,264.8
19-Jul-2019,,269.1,269.65,263.5,269.1,,264.7
18-Jul-2019,,261,274.15,259.55,259.6,,269.1
17-Jul-2019,,262,262.8,258.1,260,,259.6
16-Jul-2019,,259,262.7,256.25,259.9,,260
15-Jul-2019,,260,262,255.9,258.95,,259.9
12-Jul-2019,,268,268.65,258.05,267.75,,258.95
11-Jul-2019,,267.5,270,266.1,266.95,,267.75
10-Jul-2019,,264.7,269.5,263.3,265.5,,266.95
09-Jul-2019,,267.5,270.75,264.25,266.9,,265.5
08-Jul-2019,,267.75,271.25,266.05,271.85,,266.9
05-Jul-2019,,284,284.55,271,283.85,,271.85
04-Jul-2019,,283,284.9,282,282.85,,283.85
03-Jul-2019,,284.9,285.6,282.05,284.25,,282.85
02-Jul-2019,,282.45,285,281.7,282,,284.25
01-Jul-2019,,281.6,283.4,280.95,280.5,,282
28-Jun-2019,,283.8,283.8,280,282.1,,280.5
27-Jun-2019,,287.35,287.8,280.7,286.15,,282.1
